ProviderID,FirstName,LastName,Specialization,DeptID,NPI,HospitalID
HOSP-A-PROV0001,Danielle,Johnson,Psychiatry,DEPT004,4332181960,HOSP-A
HOSP-A-PROV0002,Anthony,Robinson,Cardiology,DEPT009,8908386379,HOSP-A
HOSP-A-PROV0003,Joshua,Booth,General Surgery,DEPT008,2654235116,HOSP-A
HOSP-A-PROV0004,Colin,Abbott,Orthopedics,DEPT004,9407816184,HOSP-A
HOSP-A-PROV0005,Maria,Montgomery,Psychiatry,DEPT018,5931034131,HOSP-A
HOSP-A-PROV0006,Norman,Chavez,Neurology,DEPT019,5255341928,HOSP-A
HOSP-A-PROV0007,Jessica,Martin,Dermatology,DEPT002,6483503056,HOSP-A
HOSP-A-PROV0008,Joseph,Clark,Cardiology,DEPT003,9537672423,HOSP-A
HOSP-A-PROV0009,Julie,Ryan,General Surgery,DEPT008,9696532871,HOSP-A
HOSP-A-PROV0010,Katelyn,Callahan,Anesthesiology,DEPT020,2269166978,HOSP-A
HOSP-A-PROV0011,John,Tran,Cardiology,DEPT018,0184514627,HOSP-A
HOSP-A-PROV0012,Aaron,Bowen,General Surgery,DEPT018,4828148932,HOSP-A
HOSP-A-PROV0013,Nathaniel,Martin,Dermatology,DEPT008,8095701543,HOSP-A
HOSP-A-PROV0014,Brian,Humphrey,Oncology,DEPT019,1171822782,HOSP-A
HOSP-A-PROV0015,Joseph,Brennan,Pediatrics,DEPT001,6383465787,HOSP-A
HOSP-A-PROV0016,David,Walker,Orthopedics,DEPT014,5098393010,HOSP-A
HOSP-A-PROV0017,Jeremy,Whitehead,Radiology,DEPT009,5183473829,HOSP-A
HOSP-A-PROV0018,Barbara,Sanchez,Orthopedics,DEPT007,7631165667,HOSP-A
HOSP-A-PROV0019,Michelle,Brown,Radiology,DEPT004,1065133387,HOSP-A
HOSP-A-PROV0020,Donald,White,Neurology,DEPT013,7317810801,HOSP-A
HOSP-A-PROV0021,Sara,Allison,Neurology,DEPT012,2677360260,HOSP-A
HOSP-A-PROV0022,Tricia,Baker,Radiology,DEPT020,7468723430,HOSP-A
HOSP-A-PROV0023,Beth,Daniels,Pediatrics,DEPT002,5009788208,HOSP-A
HOSP-A-PROV0024,Christopher,Lopez,Oncology,DEPT018,9136193990,HOSP-A
HOSP-A-PROV0025,Christine,Barnes,Neurology,DEPT013,9985435346,HOSP-A
HOSP-A-PROV0026,David,Brewer,Neurology,DEPT018,7510799118,HOSP-A
HOSP-A-PROV0027,Jason,Baker,Pediatrics,DEPT020,5135427849,HOSP-A
HOSP-A-PROV0028,Tonya,Roman,Radiology,DEPT019,8084124118,HOSP-A
HOSP-A-PROV0029,Eric,Campbell,General Surgery,DEPT003,3534874016,HOSP-A
HOSP-A-PROV0030,Maria,Williams,Cardiology,DEPT008,5242786801,HOSP-A
HOSP-A-PROV0031,Charles,Ware,Pediatrics,DEPT003,2805982620,HOSP-A
HOSP-A-PROV0032,Kyle,Nolan,General Surgery,DEPT004,0533158692,HOSP-A
HOSP-A-PROV0033,Sara,Young,Dermatology,DEPT009,2260256342,HOSP-A
HOSP-A-PROV0034,Kristin,Rodriguez,Oncology,DEPT012,0733754330,HOSP-A
HOSP-A-PROV0035,Donna,Ross,Orthopedics,DEPT012,4145868501,HOSP-A
HOSP-A-PROV0036,Natalie,Green,Radiology,DEPT007,9401965569,HOSP-A
HOSP-A-PROV0037,Tracey,Wilson,Psychiatry,DEPT009,9340608835,HOSP-A
HOSP-A-PROV0038,Ryan,Rush,Psychiatry,DEPT003,5951484656,HOSP-A
HOSP-A-PROV0039,Heidi,Spencer,Emergency Medicine,DEPT006,3662994680,HOSP-A
HOSP-A-PROV0040,Kevin,Clark,Anesthesiology,DEPT008,9957773872,HOSP-A
HOSP-A-PROV0041,Donna,Campbell,Orthopedics,DEPT015,9513433200,HOSP-A
HOSP-A-PROV0042,John,Alvarez,Dermatology,DEPT009,1769367632,HOSP-A
HOSP-A-PROV0043,Diana,Smith,Psychiatry,DEPT018,1632870831,HOSP-A
HOSP-A-PROV0044,Stephen,Solis,General Surgery,DEPT011,8895798687,HOSP-A
HOSP-A-PROV0045,Phyllis,Manning,Cardiology,DEPT008,7743487347,HOSP-A
HOSP-A-PROV0046,Chris,Mitchell,Cardiology,DEPT011,4558122362,HOSP-A
HOSP-A-PROV0047,Jasmine,Brown,Dermatology,DEPT009,6587603669,HOSP-A
HOSP-A-PROV0048,Sophia,Smith,Neurology,DEPT007,9670546688,HOSP-A
HOSP-A-PROV0049,Lauren,Hurst,Emergency Medicine,DEPT011,7346706562,HOSP-A
HOSP-A-PROV0050,Mary,Calhoun,General Surgery,DEPT016,9806990162,HOSP-A
